01ke6722.copc.laz,QmUMHHViHscNPrgj9iRJFRUtd8mDRY3C9YabHK1nCLi8k3,212770814,202.91 MiB
01ke6723.copc.laz,QmQhqVtaXh4ixdNt7Y9skPAWoQYfeNqx6DA3tzoyY6WyGJ,251874812,240.21 MiB
01ke6724.copc.laz,QmSZvcpPRu7Fjeki3s4p6vksVcmdHznDBExgetaLFiMv7P,229485067,218.85 MiB
01ke6732.copc.laz,QmcXySFWfayWdH2hSxGRRfcoXVPm6S6R4syDgEHrE4yEdD,227529174,216.99 MiB
01ke6734.copc.laz,Qmb8r3yt4MxarSSpRzfdkbnWSTRkghEPAh1kJZmfD7ryfT,269320035,256.84 MiB
01ke6741.copc.laz,QmPQaoFvmgwm9jSiQQVtKzoFXW4RYewvemip44PKTpBUjw,224821157,214.41 MiB
01ke6742.copc.laz,QmSjpsMRGLzpfN73rCf8U7N38E5AjyovQXhTrbz1ite4UG,228145994,217.58 MiB
01ke6743.copc.laz,QmdCuGPKyQ1bR1Eosv294bFg4rUH4tKRu3EboDPL9rpg5N,241297768,230.12 MiB
01ke6744.copc.laz,QmcZjm8AQJ7HLJQDDxLpAXyRFAjSQacwwN7uiywTwhQ3Ek,212489098,202.65 MiB
01ke6811.copc.laz,QmUv4PU8D4ScTwqYsEKNW6iEJdpVzpUrheWx3KTc8HRz5r,146411220,139.63 MiB
01ke6812.copc.laz,QmU9bV4dEug1uC1AAS3aLqZ4vDz1M2m7k2kCiwqp6Ukn1q,193747055,184.77 MiB
01ke6813.copc.laz,QmdVsEMM24YrreNUoa5gJjbW4rbPBhZqs8urFTXWy4cBuG,206168027,196.62 MiB
01ke6814.copc.laz,QmWBEHacCpsgYt1stGGNc8h4eQy8MCdM75AYqWTSBEHC9U,253395178,241.66 MiB
01ke6821.copc.laz,QmcJ5GU97eRgBzJJvJHY26NvLDzeu1V6mmEYZntVfsmXmA,215187727,205.22 MiB
01ke6823.copc.laz,QmT224qnenYqcP1bRMkERx35RnbehSMMhA3eEwTJb5c1py,235395413,224.49 MiB
01ke6831.copc.laz,QmWqdeErJvyzXjiGCwsp8j2ogPxS3XAKHVUubuYUdy7WZx,228717276,218.12 MiB
01ke6832.copc.laz,QmUUecPA49LEmhJUjLcmCHSTQSQo3a3XoUN1dhzjUdNpEW,252989096,241.27 MiB
01ke6833.copc.laz,QmetnezA72znkueZwHPfPWFvckmZMvFPavn1nE8k1MpRNb,227475414,216.94 MiB
01ke6834.copc.laz,QmZZ11RJwFqag9Dfj5kR8v8W66DvqxhyJTQwc3qQRggxfZ,234779276,223.90 MiB
01ke4824.copc.laz,QmaDeGU15aEnw3yHfzuAFUki7xFMDNemMPH5DeXn2dB96d,50874110,48.52 MiB
01ke4842.copc.laz,QmYswPd2JwamanwgjtLXnpUmVteLBENgR7rjncMyptQJLm,103678400,98.88 MiB
01ke4844.copc.laz,QmeTRDVMQ4C15XZRm3gQ7KHGrTWmEnvMyhZAg83xcc4kef,84219523,80.32 MiB
01ke4931.copc.laz,QmZxkozshij1234PpxqXCAmQxMvVErfTuYEr638BN3y4em,60821729,58.00 MiB
01ke7722.copc.laz,QmQgkejupT2vwtkfF8kBpozHqPs6VJpFxeAG4jojxD6hUs,210256643,200.52 MiB
01ke4933.copc.laz,QmQv8wRVYkE55rsfxtWbyz1poR5sFnpDDRoHhjYFXQGSaD,74394463,70.95 MiB
01ke5821.copc.laz,QmaUaWfLLhMFeb72edLhfeC3C7N1QcMHFHmMnfkrKwAhnt,33194291,31.66 MiB
01ke5822.copc.laz,QmNfx5ABpJoUXZHx5DXKUFA4iLGGQe9brgcwWGNxzPBdCR,212243054,202.41 MiB
